Source sentence,Answer sentence,Event1,Event2,labels
"The ethnic Albanians here in Kosovo are considerably worried about the future and fear they are witnessing the beginnings of a much wider conflict . By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been confirmed from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been planned . ",conflict and attack have no relationship,conflict ,attack ,NONE
""" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . ",continue is the cause of exhibit ,continue ,exhibit ,Cause-Effect
"But economists said the wage increase was not enough to raise any concerns about higher inflation . Service industries also showed solid job gains , as did manufacturers , two areas expected to be hardest hit when the effects of the Asian crisis hit the American economy . ",increase and expected have no relationship,increase ,expected ,NONE
"The earnings drop at GM Hughes Electronics is a sign of tough times at both the defense operations of Hughes Aircraft Co. and GM 's North American automotive operations , which are a primary customer for the Delco Electronics Corp. side of the GM Hughes unit . At EDS , third-quarter profit jumped 16 % to a record $ 110.9 million , or 93 cents a share , from $ 95.9 million , or 79 cents a share . ",drop and jumped have no relationship,drop ,jumped ,NONE
"But Sinn Fein leader Gerry Adams kept his party out pending meetings with British Prime Minister Tony Blair 10 days ago and President Clinton last week . "" We were unjustly pushed out of the talks in February but we are back , "" Adams said Sunday . ",kept and said have no relationship,kept ,said ,NONE
"de Navigation Mixte Chairman Marc Fournier said his board unanimously rejected as too low the $ 1.77 billion bid by Cie . Paribas still needs the go-ahead from the Commission des Operations de Bourse , a government regulatory agency , but analysts said that is considered likely . ",rejected and said have no relationship,rejected ,said ,NONE
"Each right entitles the shareholder to buy $ 100 face amount of 13.5 % bonds due 1993 and warrants to buy 23.5 common shares at 30 cents a share . Integra , which owns and operates hotels , said that Hallwood Group Inc. has agreed to exercise any rights that are n't exercised by other shareholders . ",buy and said have no relationship,buy ,said ,NONE
"He has outlasted and sometimes outsmarted eight American presidents . One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . ",outlasted and relationship have no relationship,outlasted ,relationship ,NONE
"Speaking on the ABC program , Abdul Amir al-Anbari , Iraq 's ambassador to the U.N., asserted that an embargo on Iraq could plunge the U.S. into a "" depression "" and the rest of the world into an economic "" crisis . "" ",embargo is the cause of depression ,embargo ,depression ,Cause-Effect
"However , cited by District of Columbia traffic police in December for driving under the influence of alcohol , Farkas was ordered home and retired . "" Being 48 is too early to be retired , "" a fit-looking Farkas said on state TV 's morning talk show . ",cited and said have no relationship,cited ,said ,NONE
"The company also cited interest costs and amortization of goodwill as factors in the loss . A year earlier , net income was $ 2.1 million , or six cents a share , on revenue of $ 169.9 million . ",loss and income have no relationship,loss ,income ,NONE
"Confrontations among Catholic protesters , Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers . ",Confrontations is the cause of violence ,Confrontations ,violence ,Cause-Effect
"Rather , Mr. Perlman said , Control Data intends to bid for the coming Minnesota lottery contract and is seeking new applications for the technology overseas , where "" there is great interest in games of skill . "" The offer was automatically triggered by the recent sale of Control Data 's Imprimis disk-drive business to Seagate Technology Inc. ",seeking and triggered have no relationship,seeking ,triggered ,NONE
"Although profits were "" squeezed "" in 1989 , mainly as a result of higher raw-material costs , the company said it is confident about future earnings and cash flow for 1990 and beyond . ",said and costs have no relationship,said ,costs ,NONE
Mr. Schwarz also said costs associated with U.S. Trust 's planned move to midtown Manhattan from Wall Street will continue to be a drag on earnings through 1990 . ,said and drag have no relationship,said ,drag ,NONE
"Interviews with three major fund groups -- Fidelity Investments , Vanguard Group Inc. and T. Rowe Price Associates Inc. -- confirm the trend . Such selling could erode prices of high-yield junk bonds , already weakened by a rash of corporate credit problems . ",confirm and erode have no relationship,confirm ,erode ,NONE
"Police confirmed Friday that the body found along a highway in this municipality 15 miles south of San Juan belonged to Jorge Hernandez , 49 . While some Latin American countries such as Mexico and Colombia have suffered from a rash of kidnappings in recent years , the crime has not been common in this U.S. commonwealth . ",belonged and kidnappings have no relationship,belonged ,kidnappings ,NONE
"That is due mostly to payments from Allianz for most of the 50 % stake it has agreed to acquire in Navigation Mixte 's insurance business . Mr. Fournier said Navigation Mixte 's 1989 unconsolidated , or parent-company , profit is likely to be 4.7 billion francs ( $ 754.4 million ) , up from 633.8 million francs last year . ",payments is the cause of up ,payments ,up ,Cause-Effect
"The split and quarterly dividend will be payable Jan . 3 to stock of record Nov . 16 , the company said . UNIFIRST Corp. declared a 2-for-1 stock split . ",payable and split have no relationship,payable ,split ,NONE
"President Clinton welcomed the job figures at a news conference Friday . The increase reflected the strength of the housing industry , which has been helped not just by declining interest rates but also by unusually warm weather . ",conference and strength have no relationship,conference ,strength ,NONE
"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $ 65 a share in the early 1980s , filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders . The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court . ",filed and approved have no relationship,filed ,approved ,NONE
"Taken together , the worries prompted a broad sell-off of stocks . Some lousy earnings reports whacked the stock market , but bond prices fell only slightly and the dollar rose a little against most major currencies . ",prompted and fell have no relationship,prompted ,fell ,NONE
Ford is willing to bid for 100 % of Jaguar 's shares if both the government and Jaguar shareholders agree to relax the anti-takeover barrier prematurely . GM is close to completing a friendly deal with Jaguar that is likely to involve an eventual 30 % stake and joint manufacturing ventures . ,agree and completing have no relationship,agree ,completing ,NONE
U.S. officials say that hundreds of Kuwaiti oil wells now may have been set afire . The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms . ,say and rejection have no relationship,say ,rejection ,NONE
"Mr. Bush forestalled further diplomatic maneuvering by issuing an ultimatum on behalf of the allies demanding that Iraq withdraw within a week , starting at noon Saturday . ",issuing is the cause of forestalled ,issuing ,forestalled ,Cause-Effect
"Some analysts have said Courtaulds ' moves could boost the company 's value by 5 % to 10 % , because the two entities separately will carry a higher price earnings multiple than they did combined . ",carry is the cause of boost ,carry ,boost ,Cause-Effect
"CMS ENERGY Corp. said management would recommend to its board today that its common stock dividend be reinstated at a "" modest level "" later this year . In addition , CMS reported third-quarter net of $ 68.2 million , or 83 cents a share , up from $ 66.8 million , or 81 cents a share , a year ago . ",said and reported have no relationship,said ,reported ,NONE
"The investor , Donald A. Wright , plans to run the company , said a spokesman for Kyle . The transaction has been approved by Kyle 's board , but requires the approval of the company 's shareholders . ",plans and requires have no relationship,plans ,requires ,NONE
"Sotheby 's Holdings Inc., the parent of the auction house Sotheby 's , said its net loss for the seasonally slow third quarter narrowed from a year earlier on a leap in operating revenue . ",leap and narrowed have no relationship,leap ,narrowed ,NONE
"Conseco Inc. said it is calling for the redemption on Dec . 7 of all the 800,000 remaining shares outstanding of its $ 1.875 Series A convertible preferred stock at $ 26.805 a share . ",redemption and calling have no relationship,redemption ,calling ,NONE
"In fiscal 1989 , it had sales of about $ 40 million and an operating loss of $ 1.5 million . ",loss and had have no relationship,loss ,had ,NONE
"The thrift emphasized that it has a large portfolio of equity securities issued in connection with corporate restructurings and leveraged buy-outs , which has a book value of $ 90 million . Although many of the transactions related to those securities have n't been completed , Columbia said the ultimate gain on the sale of those assets will range from $ 200 million to $ 300 million . ",has and said have no relationship,has ,said ,NONE
The Maariv newspaper said Sunday that Netanyahu 's comments last week were in response to signals from Syria that it wants to renew the long-stalled peace talks between the two countries . ,signals is the cause of comments ,signals ,comments ,Cause-Effect
"The Wilmington , Mass . , garment service company also boosted its quarterly dividend 20 % to three cents a share adjusted for the split . Separately , UniFirst reported that net income rose 21 % to $ 3 million , or 29 cents a share adjusted for the split , for the fourth quarter ended Aug . 26 . ",split and ended have no relationship,split ,ended ,NONE
"Mr. Vaux said the share issue is part of a strategy to strengthen Labatt 's balance sheet in anticipation of acquisitions to be made during the next 12 to 18 months . Mr. Vaux said that if no agreement is reached , other buyers will be sought by bid or auction . ",strengthen and said have no relationship,strengthen ,said ,NONE
"Turkey , worried about civil war in Kosovo spilling to the whole Balkans , urged all Balkan states to sign a joint declaration that the Kosovo crisis be solved peacefully and without any change of borders . ",spilling and sign have no relationship,spilling ,sign ,NONE
"Cabinet minister Michael Eitan said Sunday that Netanyahu 's remarks marked a substantive change in Israel 's position . On Friday , Netanyahu said he had "" no qualms "" about implementing the U.N. resolution , as long as Israel had "" the necessary security safeguards . "" ",said and had have no relationship,said ,had ,NONE
ROGERS COMMUNICATIONS Inc. said it plans to raise 175 million to 180 million Canadian dollars ( US $ 148.9 million to $ 153.3 million ) through a private placement of perpetual preferred shares . He declined to discuss other terms of the issue . ,said and declined have no relationship,said ,declined ,NONE
"Meanwhile , as VOA West Africa Correspondent Purnell Murdock reports , General Abacha 's supporters began a two day rally in the capital , Abuja , to urge him to compete in this year 's election . Nigeria state radio says thousands of people began gathering in the capital Abuja early Tuesday for the two day rally supporting General Sani Abacha 's candidacy . ",reports and gathering have no relationship,reports ,gathering ,NONE
"Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants . Each of the Class C warrants will enable the holders to purchase one share of common stock at $ 5.50 . ",issue and enable have no relationship,issue ,enable ,NONE
"The company said that because of softening sales it is n't in compliance with requirements that it maintain $ 3 million in working capital . RMS said it had a loss of $ 158,666 , or 10 cents a share , in the third quarter , compared with a year-earlier loss of $ 26,956 , or two cents a share . ",said and said have no relationship,said ,said ,NONE
"Because Columbia now must sell the bonds within five years , accounting rules require the thrift to value the bonds at the lower of cost or market prices . ",sell is the cause of require ,sell ,require ,Cause-Effect
"It has n't diversified beyond steel , nor has it linked up with a joint venture partner to share costs and risks . However , its equity in the net income of National Steel declined to $ 6.3 million from $ 10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike . ",diversified and threatened have no relationship,diversified ,threatened ,NONE
"The zero-coupon subordinated notes have no periodic interest payments . The gross proceeds from the sale of the notes , which will be due on Nov . 1 , 2004 , will be used to reduce existing debt and for general corporate purposes , the company said . ",payments and proceeds have no relationship,payments ,proceeds ,NONE
Unisys posted a $ 648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround . ,moved is the cause of posted ,moved ,posted ,Cause-Effect
"Ratners , which controls 25 % of the British jewelry market , would increase the number of its U.S. stores to about 450 stores from 360 . They said they expect the transaction to be completed by Dec . 15 . ",increase and transaction have no relationship,increase ,transaction ,NONE
"Pentagon officials say the goal is to put 40,000 troops in the region by the end of the month . He apparently hopes to lure support from Arabs who have spurned him so far by suggesting that Iraq will use its occupation of Kuwait as a lever to solve the Arab world 's most frustrating problem , the 23-year Israeli occupation of land claimed by Palestinians . ",put and support have no relationship,put ,support ,NONE
"Automatic Data Processing Inc. plans to redeem on Nov . 16 its $ 150 million of 6.5 % convertible subordinated debentures due March 1 , 2011 . ",due and plans have no relationship,due ,plans ,NONE
"The No. 1 U.S. auto maker then wrote Jaguar that it intends "" to go to that 15 % "" level once it wins the U.S. clearance to go beyond $ 15 million , a Jaguar spokesman said yesterday . "" We will not go over a certain level , "" said David N. McCammon , Ford 's vice president for finance , at a news conference yesterday in Dearborn , Mich . ",wins and conference have no relationship,wins ,conference ,NONE
"Profit at the unit fell to $ 110.6 million , or 37 cents a share , from $ 142.4 million , or 45 cents a share , largely because of a $ 24 million one-time charge associated with Hughes 's previously announced plan to reduce employment by at least 6,000 people by year end . ",charge is the cause of fell ,charge ,fell ,Cause-Effect
"The offer , valued at about $ 576 million for the 33 % of Telerate that Dow Jones does n't already own , had been set to expire Nov . 6 . In composite trading on the New York Stock Exchange , Telerate shares closed at $ 19.50 , up 12.5 cents . ",expire and closed have no relationship,expire ,closed ,NONE
"said it plans to aggressively discount its major beer brands , setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ",continues is the cause of setting ,continues ,setting ,Cause-Effect
"BUDAPEST , Hungary ( AP ) _ Tired of being sidelined , Hungarian astronaut Bertalan Farkas is leaving for the United States to start a new career , he said Saturday . However , cited by District of Columbia traffic police in December for driving under the influence of alcohol , Farkas was ordered home and retired . ",leaving and cited have no relationship,leaving ,cited ,NONE
"Actually , about two years ago , the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century . We innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the SEC . ",listed and redemptions have no relationship,listed ,redemptions ,NONE
"Under its revised proposal , Atlanta-based BellSouth would have a 50 % interest in the new cellular company and would be responsible for half of its debt . "" This game is n't over yet , "" said Joel D. Gross , a vice president at Donaldson , Lufkin amp Jenrette Securities Corp. "" At some point , it will become non-economical for one company . ",have and become have no relationship,have ,become ,NONE
There are disagreements among experts about how much pressure will be needed to make Saddam Hussein decide he 's up against the wall and whether simple economic pressure will ever be enough . ,pressure is the cause of decide ,pressure ,decide ,Cause-Effect
The company has about 31 million ordinary shares outstanding . Hudson 's Bay said it will redeem 9.5 million Series H preferred shares on Oct . 31 at a price of C $ 27.75 each . ,has and redeem have no relationship,has ,redeem ,NONE
"The Islamic Saudi Academy has twelve hundred mostly American students but would take thirty-five hundred if it had the room . Many local residents denounced the bigotry , but opposition to the school then shifted . ",had and shifted have no relationship,had ,shifted ,NONE
"In anticipation of the start-up of its new factory , the company said a larger-than-normal chassis supply has been built to carry it through the transition period . Oshkosh Truck Corp., Oshkosh , Wis . , estimated earnings for its fourth quarter ended Sept . 30 fell 50 % to 75 % below the year-earlier $ 4.5 million , or 51 cents a share . ",carry and fell have no relationship,carry ,fell ,NONE
"The sweetened offer has acceptances from more than 50 % of Weisfield 's shareholders , and it is scheduled for completion by Dec . 10 . Ratners Group PLC , a fast-growing , acquisition-minded London-based jeweler , raised its price for Seattle-based specialty jeweler Weisfield 's Inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern said it would be prepared to outbid Ratners 's initial offer . ",offer and offer have no relationship,offer ,offer ,NONE
"Columbia Savings amp Loan Association , reeling from thrift-accounting changes mandated by Congress and the recent collapse of the junk-bond market , announced a loss for the third quarter of $ 226.3 million , or $ 11.57 a share . ",changes is the cause of reeling ,changes ,reeling ,Cause-Effect
Law enforcement authorities say such reports are likely to increase as police departments are now beginning to more accurately report hate crimes than they have in the past . ,beginning is the cause of increase ,beginning ,increase ,Cause-Effect
Ralston said its Eveready battery unit was hurt by continuing economic problems in South America . ,problems is the cause of hurt ,problems ,hurt ,Cause-Effect
"In addition , the company 's board authorized the purchase of up to an additional one million shares . Nashua immediately responded by strengthening a poison-pill plan and saying it will buy back up to one million of its shares , or 10.4 % of the 9.6 million outstanding . ",authorized and buy have no relationship,authorized ,buy ,NONE
Mr. Vaux said the share issue is part of a strategy to strengthen Labatt 's balance sheet in anticipation of acquisitions to be made during the next 12 to 18 months . ,strengthen and acquisitions have no relationship,strengthen ,acquisitions ,NONE
"Automatic Data Processing Inc. plans to redeem on Nov . 16 its $ 150 million of 6.5 % convertible subordinated debentures due March 1 , 2011 . In New York Stock Exchange composite trading Friday , Automatic Data closed at $ 46.50 a share , down $ 2.25 . ",due and closed have no relationship,due ,closed ,NONE
"Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men . ",resolutions is the cause of extradition ,resolutions ,extradition ,Cause-Effect
"The loan may be extended by the McAlpine group for an additional year with an increase in the conversion price to $ 2.50 a share . Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests , for $ 1 million , or $ 1.35 a share . ",increase and sold have no relationship,increase ,sold ,NONE
"Revenue totaled $ 1.01 billion , a 43 % increase from $ 704.4 million , reflecting the company 's acquisition of Emery earlier this year . Profit also suffered because of "" intense "" discounting in its long-haul trucking business , the company said . ",increase and discounting have no relationship,increase ,discounting ,NONE
"Of the eight victims , three were stabbed , two were strangled , two were beaten to death and one was asphyxiated , he said , and these different methods of killing and other evidence seem to indicate that the eight cases are not related . "" I have n't seen a pattern yet , "" said Patricia Hurt , the Essex County prosecutor , who created the task force on Tuesday . ",seem and created have no relationship,seem ,created ,NONE
The Persian Gulf showdown between Iraq and the United States took a more personal turn Thursday when Iraq 's Saddam Hussein called President Bush a liar and said the outbreak of holy war could bring thousands of Americans home in coffins . ,said and took have no relationship,said ,took ,NONE
"The most controversial form of program trading , stock-index arbitrage , is "" making it tough for traders to make money , "" declares Robert Antolini , head of OTC trading at Donaldson , Lufkin amp Jenrette . ",arbitrage is the cause of tough ,arbitrage ,tough ,Cause-Effect
"The company also retained attorney Martin P. Levin , a director of the company and former head of the Times - Mirror Publishing Group , as an adviser . The publishing concern said it retained the investment banking firm of Donaldson , Lufkin amp Jenrette Securities Inc. to act as its financial adviser , assisting in the evaluation of various financial and strategic alternatives , including debt refinancing , raising capital , recapitalization , a merger or sale of the company . ",retained and said have no relationship,retained ,said ,NONE
"Earnings were hurt by disposal of operations in its restructuring , Reed said . Sales fell 20 % to # 722 million . ",restructuring and fell have no relationship,restructuring ,fell ,NONE
"The giant foods , tobacco and brewing company said it will issue common-share purchase rights to shareholders of record Nov . 8 . Philip Morris Cos . , New York , adopted a defense measure designed to make a hostile takeover prohibitively expensive . ",issue and designed have no relationship,issue ,designed ,NONE
"Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market . ",flights is the cause of support ,flights ,support ,Cause-Effect
Now the ninth US circuit court of appeals has ruled that the original appeal was flawed since it brought up issues that had not been raised before . ,brought is the cause of flawed ,brought ,flawed ,Cause-Effect
"A UN spokesman says UN secretary general Kofi Annan is on the verge of a breakthrough , but added it 's not done yet . ",added and says have no relationship,added ,says ,NONE
"That would be a huge problem if it were to continue , because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer 's equipment and toward systems -- mainly Unix -- that work on almost anyone 's machines . Still , Unisys said its European business was weak during the quarter , a worrisome sign given that the company has relied on solid results overseas to overcome weakness in the U.S. over the past several quarters . ",betting and overcome have no relationship,betting ,overcome ,NONE
"Michael Swavely , president of Compaq 's North America division , attributed the company 's third-quarter performance to continued increases in international sales , which accounted for 43 % of the company 's sales , a 74 % increase from a year earlier . The latest quarter 's results , however , included a pretax gain of $ 13.7 million , or 20 cents a share , in the carrying value of the company 's investment in Conner Peripherals Inc. and a $ 7.6 million gain , or 11 cents a share , from the sale of one million Conner shares . ",attributed and gain have no relationship,attributed ,gain ,NONE
"The company said the move recognizes its strong financial position . Although profits were "" squeezed "" in 1989 , mainly as a result of higher raw-material costs , the company said it is confident about future earnings and cash flow for 1990 and beyond . ",said and costs have no relationship,said ,costs ,NONE
The company said its industrial unit continues to face margin pressures and lower demand . ,continues and said have no relationship,continues ,said ,NONE
"Institut Merieux , which already holds a 12.5 % stake in Connaught , said that at the close of business Thursday , 5,745,188 shares of Connaught and C $ 44.3 million face amount of debentures , convertible into 1,826,596 common shares , had been tendered to its offer . ",offer and close have no relationship,offer ,close ,NONE
"The so-called poison pill took effect Aug . 9 pending ratification by holders . The company had a net loss of C $ 2.3 million , or 14 Canadian cents a share , a year ago . ",took and had have no relationship,took ,had ,NONE
"The thrifts agreed to the transaction in August 1988 . Dime Savings Bank of New York was cleared by the Federal Deposit Insurance Corp. to acquire Starpointe Savings Bank of Somerset , N.J., the banks said . ",agreed and cleared have no relationship,agreed ,cleared ,NONE
"Over the summer , Anheuser competitors offered more and deeper discounts than industry observers have seen for a long time . Beneath the tepid news-release jargon lies a powerful threat from the brewing giant , which last year accounted for about 41 % of all U.S. beer sales and is expected to see that grow to 42.5 % in the current year . ",offered and accounted have no relationship,offered ,accounted ,NONE
The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies . ,cutting is the cause of cripple ,cutting ,cripple ,Cause-Effect
"The FDIC cleared the move yesterday , and the banks must wait at least 30 days before closing the purchase . ",wait and closing have no relationship,wait ,closing ,NONE
"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey , England and a recent public offering have increased Meridian 's net worth to $ 8.5 million , said William Feniger , chief executive officer of Toledo , Ohio-based Meridian . Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests , for $ 1 million , or $ 1.35 a share . ",increased and sold have no relationship,increased ,sold ,NONE
"He said the independent power segment could grow to provide as much as 50 % of near-term generation capacity , adding : "" We expect to supply a significant share of this market . "" The deal , which will involve an initial $ 20 million investment , was struck with a handshake , he added . ",said and handshake have no relationship,said ,handshake ,NONE
"Then the Baghdad government stopped providing Ritter 's team with escorts , making it impossible for him to enter any site . ",stopped is the cause of enter ,stopped ,enter ,Cause-Effect
"DPC Acquisition added that it has not begun discussions with financing sources , and said it expected to repay the amounts borrowed through proceeds of the liquidation . A unit of DPC Acquisition Partners launched a $ 10-a-share tender offer for the shares outstanding of Dataproducts Corp., and said it would seek to liquidate the computer-printer maker "" as soon as possible , "" even if a merger is n't consummated . ",said and liquidate have no relationship,said ,liquidate ,NONE
"Tony Lama Co. said that Equus Investment II Limited Partnership has proposed changing the offer for the company to $ 13.65 in cash and stock from an all-cash transaction . The El Paso , Texas , maker of Western boots and leather accessories said the preferred stock would accrue dividends at a 12 % rate , but would n't be paid for the first two years . ",said and said have no relationship,said ,said ,NONE
"Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . ",earthquake is the cause of payments ,earthquake ,payments ,Cause-Effect
"People are reading the boxes and deciding they want something that 's ` healthy ' for you -- oats , bran . "" Kellogg is so anxious to turn around Corn Flakes sales that it soon will begin selling boxes for as little as 99 cents , trade sources say . ",deciding and selling have no relationship,deciding ,selling ,NONE
"In such an event , Saddam Hussein also might calculate , the Saudis would be under pressure to kick out U.S. troops because of America 's close ties with Israel . The second possibility would be to start a fight with Israel , in hopes that all Arabs would have to move behind Iraq in a fight against their common Israeli enemy . ",calculate and fight have no relationship,calculate ,fight ,NONE
"Cilcorp Inc., Peoria , Ill . , said it agreed to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport , Conn . Cilcorp will also assume $ 22 million of Hunter 's existing debt . ",acquire and assume have no relationship,acquire ,assume ,NONE
"She said the move would result in a after-tax charge of less than $ 4 million to be spread over the next three quarters . Xerox Corp. has told employees in its Crum amp Forster personal insurance operations that it is laying off about 300 people , or 25 % of the staff . ",result and laying have no relationship,result ,laying ,NONE
"I think that the mood is fairly gloomy , and I think it 's not going to change for a couple of years . She estimates her properties , worth a hundred thirty million dollars in October , are worth only half that now . ",think and worth have no relationship,think ,worth ,NONE
UNOS says the regulations put the federal government in charge of deciding who gets transplants and that many hospital transplant centers would be forced to close . UNOS spokeswoman Donna Henry Wright says the new policy would not necessarily be more fair or effective because allowances are already made for the most needy patients . ,says and fair have no relationship,says ,fair ,NONE
"ROGERS COMMUNICATIONS Inc. said it plans to raise 175 million to 180 million Canadian dollars ( US $ 148.9 million to $ 153.3 million ) through a private placement of perpetual preferred shares . Rogers said the shares will be convertible into Class B shares , but that the company has the option to redeem the shares before a conversion takes place . ",plans and conversion have no relationship,plans ,conversion ,NONE
We are here because what happens on this island will also have an impact on the United States . ,impact is the cause of here ,impact ,here ,Cause-Effect
"Blassie 's mother now wants the remains in the tomb tested for DNA . The Pentagon said today it will re-examine the question are the remains inside the Tomb of the Unknown from the Vietnam War , in fact , known ? ",wants and reexamine have no relationship,wants ,reexamine ,NONE
"In wooing British lawmakers , GM has pointed out that its willingness to settle for a minority stake would keep Jaguar British-owned and independent . ",willingness is the cause of independent ,willingness ,independent ,Cause-Effect
Hadson Corp. said it expects to report a third-quarter net loss of $ 17 million to $ 19 million because of special reserves and continued low natural-gas prices . ,reserves is the cause of loss ,reserves ,loss ,Cause-Effect
"Iraq 's Saddam Hussein , his options for ending the Persian Gulf crisis growing increasingly unpleasant , assumed the role of embattled Arab hero in offering his first rough proposal for a negotiated end to the confrontation . Thus , administration aides will be trying to calculate whether Saddam Hussein 's proposed diplomatic formula for getting out of Kuwait represents the first sign he is searching for a way out or simply is a public relations stunt . ",ending and searching have no relationship,ending ,searching ,NONE
"Dealers placed heavy buy orders in the morning to start the first trading day for November transactions . That 's leaving small investors with cold feet , they said , and prompting institutions to take a reserved stance on the sidelines as well , at least until the market in New York settles down somewhat . ",transactions and settles have no relationship,transactions ,settles ,NONE
"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority . ",assassination and reconciliation have no relationship,assassination ,reconciliation ,NONE
"However , its equity in the net income of National Steel declined to $ 6.3 million from $ 10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike . ",demand is the cause of declined ,demand ,declined ,Cause-Effect
"Robert Mellor , Di Giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting DIG 's offer . Di Giorgio , a food wholesaler and building products maker , is seeking alternatives to an unsolicited $ 32-a-share tender offer of DIG Acquisition Corp., a unit of Rose Partners Limited Partnership . ",accepting and offer have no relationship,accepting ,offer ,NONE
"Then , after extending its offer four times waiting for a congressional tax ruling , IMA early this month lowered its offer to $ 26.50 a share amid turbulence in the junk bond market . Harry J. Gray and Melvyn N. Klein , along with five other IMA designees , were named to join American Medical 's 10-member board . ",ruling and join have no relationship,ruling ,join ,NONE
"A spokesman said the savings bank may not qualify for the capital requirements because , under the proposed guidelines , its $ 380 million of preferred stock does n't meet the "" core capital "" criteria outlined under the new Financial Institutions Reform , Recovery and Enforcement Act of 1989 . ",meet is the cause of qualify ,meet ,qualify ,Cause-Effect
Ratners and Weisfield 's said they reached an agreement in principle for the acquisition of Weisfield 's by Sterling Inc. currently it controls about 2 % . ,acquisition and controls have no relationship,acquisition ,controls ,NONE
""" It makes no sense for us to put money at risk when you know you 're going to lose , "" says Mr. Antolini , of Donaldson Lufkin . Other market-maker gripes : Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market . ",sense and lose have no relationship,sense ,lose ,NONE
"Ogden Projects , whose shares began trading on the New York Stock Exchange in August , closed yesterday at $ 26.875 , down 75 cents . The stock began trading this summer at $ 14 apiece . ",closed and trading have no relationship,closed ,trading ,NONE
"Oshkosh Truck attributed the downturn in its earnings to higher start-up costs of its new chassis division , a softer motor-home market and higher administrative costs of compliance with government contractor regulations . In fiscal 1988 , the company earned $ 17.3 million , or $ 1.92 a share , on revenue of $ 352.9 million . ",attributed and earned have no relationship,attributed ,earned ,NONE
"CMS ENERGY Corp. said management would recommend to its board today that its common stock dividend be reinstated at a "" modest level "" later this year . ",recommend and reinstated have no relationship,recommend ,reinstated ,NONE
"Meanwhile , Ogden Corp., which also has interests in building maintenance and management , reported third-quarter net income of $ 27.1 million , or 67 cents a share , more than twice the $ 13.5 million , or 34 cents a share , a year earlier . Ogden Projects , which has interests in solid-waste recovery and hazardous-waste cleanup , said it has 13 facilities in operation , up from seven a year ago . ",reported and has have no relationship,reported ,has ,NONE
"In a joint statement with Tourism Minister Andrew Thomson , it said two new flights would leave Bombay on Monday and Tuesday nights from March 30 , with the third departing each Thursday from August 6 . Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday . ",departing and boost have no relationship,departing ,boost ,NONE
"The White House said Mr. Bush decided to grant duty-free status for 18 categories , but turned down such treatment for other types of watches "" because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands . "" ",potential is the cause of turned ,potential ,turned ,Cause-Effect
"Norwood , Mass . -based Phoenix , a once-high-flying maker of software for personal computers , has had substantial losses in the past two quarters . Norwood is controlled by Daniel L. Barnett and Paul A. Reese , both officers of Boston-based Oasis Capital Management Inc., a small Boston money management firm . ",had and controlled have no relationship,had ,controlled ,NONE
